City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Charters Towers,AU,-20.1,146.2667,70.57,45,0,7.49,clear sky
290,Kununurra,AU,-15.7667,128.7333,66.18,72,90,0.0,overcast clouds
291,Oparino,RU,59.8518,48.2783,48.06,97,100,7.11,overcast clouds
292,Esperance,AU,-33.8667,121.9,55.45,58,2,11.95,clear sky
293,Turukhansk,RU,65.8167,87.9833,55.69,43,100,3.42,overcast clouds
294,Sistranda,NO,63.7256,8.834,46.36,93,100,21.9,overcast clouds
295,Maceio,BR,-9.6658,-35.7353,80.04,69,75,6.91,broken clouds
296,Verkhnetulomskiy,RU,68.6073,31.7962,39.33,93,98,7.52,overcast clouds
297,Ponyri,RU,52.3186,36.3039,49.93,99,100,6.78,light rain
298,Kodaikanal,IN,10.2333,77.4833,54.43,83,82,3.38,broken clouds
299,Richards Bay,ZA,-28.783,32.0377,66.38,88,25,8.81,scattered clouds
300,Tateyama,JP,34.9833,139.8667,69.51,74,5,3.42,clear sky
301,Boguchany,RU,58.3814,97.4531,49.1,50,3,4.12,clear sky
302,Sehithwa,BW,-20.4667,22.7167,59.2,28,0,6.02,clear sky
303,Troitskoye,RU,52.9821,84.6757,57.06,63,45,4.5,scattered clouds
304,Camabatela,AO,-8.1881,15.375,60.4,92,33,1.54,scattered clouds
305,Punakha,BT,27.5837,89.8598,66.45,90,56,0.92,broken clouds
306,Iwanai,JP,42.9744,140.5089,61.03,84,81,3.38,light rain
307,Primorsk,UA,46.7348,36.3443,60.64,77,45,8.97,scattered clouds
308,Fort-Shevchenko,KZ,44.5086,50.263,60.49,75,7,11.25,clear sky
309,Provideniya,RU,64.3833,-173.3,44.08,71,59,8.77,broken clouds
310,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.24,82,51,10.47,broken clouds
311,Baykit,RU,61.67,96.37,50.16,53,63,1.32,broken clouds
312,Sturgeon Falls,CA,46.3646,-79.9326,62.89,84,100,8.1,overcast clouds
313,Bengkulu,ID,-3.8004,102.2655,75.58,88,97,7.38,overcast clouds
314,Detva,SK,48.5608,19.4195,49.39,90,89,4.7,overcast clouds
315,Goderich,CA,43.7501,-81.7165,55.72,82,98,9.22,overcast clouds
316,Turbat,PK,26.0023,63.044,83.3,63,0,2.37,clear sky
317,Buinsk,RU,54.95,48.2833,49.96,92,81,15.12,broken clouds
318,Ukiah,US,39.1502,-123.2078,77.43,55,100,7.0,overcast clouds
319,Rognan,NO,67.0953,15.3878,46.76,90,100,6.42,overcast clouds
320,Tambura,SS,5.6,27.4667,70.29,77,89,1.7,overcast clouds
321,Mount Pleasant,US,32.7941,-79.8626,79.09,85,20,12.66,few clouds
322,Buenaventura,CO,3.8801,-77.0312,76.28,94,98,1.57,moderate rain
323,George Town,MY,5.4112,100.3354,80.53,99,20,2.3,few clouds
324,Chabahar,IR,25.2919,60.643,82.69,81,0,9.08,clear sky
325,Ilulissat,GL,69.2167,-51.1,33.82,80,100,6.91,overcast clouds
326,Sri Aman,MY,1.2376,111.4621,76.69,81,99,0.72,overcast clouds
327,Dimona,IL,31.0667,35.0333,66.45,71,84,9.66,broken clouds
328,Diffa,NE,13.3154,12.6113,82.94,14,4,2.42,clear sky
329,Miri,MY,4.4148,114.0089,77.67,81,100,4.27,overcast clouds
330,Kushiro,JP,42.975,144.3747,54.55,100,75,2.3,shower rain
331,Umm Lajj,SA,25.0213,37.2685,82.85,40,0,7.81,clear sky
332,Beyneu,KZ,45.3167,55.2,63.77,45,1,5.37,clear sky
333,Pasni,PK,25.2631,63.471,80.46,92,0,11.97,clear sky
334,Aripuana,BR,-9.1667,-60.6333,78.24,59,50,2.57,scattered clouds
335,Mercedes,AR,-34.6515,-59.4307,51.85,74,50,5.82,scattered clouds
336,Cochrane,CA,51.1834,-114.4687,69.39,35,96,11.88,overcast clouds
337,Raudeberg,NO,61.9875,5.1352,47.07,93,85,23.15,overcast clouds
338,Anshun,CN,26.25,105.9333,62.38,97,100,4.94,moderate rain
339,Mitu,CO,1.1983,-70.1733,72.54,98,97,0.92,light rain
340,Palauig,PH,15.435,119.9045,84.0,73,95,7.92,overcast clouds
341,San Juan,AR,-31.5375,-68.5364,51.22,62,3,6.29,clear sky
342,Zhangye,CN,38.9342,100.4517,70.7,27,38,3.6,scattered clouds
343,Cidreira,BR,-30.1811,-50.2056,63.72,94,100,4.41,light rain
344,Port Macquarie,AU,-31.4333,152.9167,65.89,72,32,3.04,scattered clouds
